job_title,job_company,job_location,job_summary
Systems Analyst,Alhazen Technologies,Islamabad,"Verify database and data integrity.Extensive knowledge of data processing, enterprise software applications, web development, and user support."
Assistant Manager – District Coordinator (KPK),Greenstar Social Marketing,Peshawar,Education: Master in social sciences/ management sciences or equivalent.Validation of reported data by spot checks.
Data Warehouse Engineer,Qureos,Pakistan,"Experience building and optimizing big data pipelines, architectures and data sets.You will also be needed to ensure proper ingestion of data from various…"
Entrepreneurship Development Officer (For an anticipated Pro...,CARE International in Pakistan,Islamabad,"Bachelor’s degree (or equivalent) in economics, finance, business administration, social sciences and/or related field.Excellent computer skills (MS office)."
Project Coordinator,"dinCloud, Inc.",Islamabad,"Running customer environment inventory reports, and performing data analysis for internal, or customer requirements.Tracking of Product Pricing and SKUs."
Data Warehouse Engineer,360factors,Karachi,"Designs, Develops, and Implements data models to visualize and create a big picture view of the data needs of business use cases."
Product Manager,Educative,Lahore,"Bachelor’s, Master’s degree or Ph.D. in computer science, engineering or related field.Superior analytical and quantitative skills; experience using data and…"
S&CM intern,Tetra Pak,Lahore,Compilation of facts & data into a presentation with actionable insights.Sales & Customer Management Intern to support Tetra Pak Pakistan sales team.
Assistant Professor - NBS,NUST,Islamabad,"Last Date: Sunday, July 24, 2022 Job Detail Job Ref #: Job/4175/07/15/2022 Age Limit: 25 - 49 Experience: Posted Date: Friday, July 15, 2022 Salary: Market…"
Software Engineer,MTBC,Rawalpindi,Develop procedures and scripts for data migration.Atleast 1 years or 6 months of experience as a SQL Developer or similar role.
Senior Associate I,PwC,Karachi,We assist clients in understanding and challenging their current risk profiles and develop strategies to build digital confidence by embracing opportunities to…
Senior Data Engineer - Advanced Analytics,McKinsey & Company,Karachi,"Experience preparing data for analytics and following a data science workflow.Ability to work with a myriad of data types (i.e. structured and unstructured),…"
Mobile Team Lead,Neomeric,Islamabad,"Bachelors/Masters in Computer Science with 4+ years of experience.Languages: Objective-C, Swift, Java-8.Good to have Kotlin experience."
Master Data Management (MDM) expert,Aricrypta,Islamabad,"Bachelor’s degree in Computer science.Experience with data visualization tools Qlikview, PowerBI.Create and propose architecture which are for next gen master…"
Backend Engineer - Python,Sastaticket,Karachi,"Solid SQL knowledge and ability to design effective data storage for the task at hand, query performance optimization skills. Experience with Apache, Nginx."
Online Research Analyst,GfK,Karachi,Classification of Web Shops in POS Manager.Manual Matching of Physical Shops & Business Partners in POS Manager.Ensures a high quality in results.
SQL Data Warehouse expert,Aricrypta,Islamabad,Use SSIS and Azure data factory for importing data into tables.Design and develop data warehouse and related structures.Create cubes in SSAS when needed.
FULLSTACK DEVELOPER,British American Tobacco,Lahore,Create security and data protection settings.Work with data scientists and analysts to improve software.The Full Stack Developer is responsible to produce…
Software Engineer,Caramel Tech Studios,Lahore,"A solid foundation in computer science with strong competencies in data structure, algorithms and software design."
Medical Quality Manager,Roche,Karachi,"By delivering a healthy Affiliate QMS and applying the below VACC principles and through cross-functional collaborations, the LQR proactively acts in the…"
Senior Business Analyst,Ibex,Lahore,"Analyze, design and map business processes and associated data flows as required.Support the Product owner in defining and prioritizing the Product Backlog …"
Data Engineer,Teradata,Lahore+1 location,"Design and develop code, scripts, and data pipelines that leverage structured and unstructured data.Good understanding of data modeling and mapping."
Machine Learning Engineer,Caramel Tech Studios,Lahore,"10+ years experience in machine learning, large scale data processing/analytics.3-4+ years experience in machine learning, large scale data processing…"
Business Development Manager,PetroRisk,Lahore,"An MS in a science-related field or MBA is desirable.Written Communication—edit work for spelling and grammar, present numerical data effectively and read and…"
Head of Business Zone (South),Pakistan Telecommunication Company (PTCL),Karachi,"Maintain access network data base with GIS mapping,.Managing design, planning, and operations of local access and GPON (Access, FTTC, FTTH) network."
"Senior Manager Monitoring, Learning & Evaluation",Greenstar Social Marketing,Islamabad,Verify the quality of M&E data and ensure the integrity of that data and its appropriate use.Develops and builds the capacity of key staff and skills for data…
Reporting & Content Development Coordinator,UN,Islamabad,Assist in overall reporting by collecting information from provincial responsible partners and data collating it in the form of reports on specific formats.
Marketing Technologist,Procter & Gamble,Karachi,Excellent communication skills and proven experience in leading data driven projects from definition through interpretation and execution.
Optics Network Integration,NOKIA,Islamabad,"This is done in the form of lab/field testing, demos, workshops, dry run, proof of concept sessions and network integration services."
Senior Front-end Engineer,eMumba,Islamabad,Articulate communication skills to effectively analyse requirements and translate technical terms to suit business needs.AWS Certifications are a bonus.
NOC Engineer // 4 Position,Zeta Technologies,Islamabad,Compilation of data on respective alarms prior escalating such alarms as per severities with the relevant teams.Respond to Customer’s requests and inquiries.
Principal Data Engineer,Teradata,Islamabad,"Design data ingestion pipelines and ETL processing, including low-latency data acquisition and stream processing.Good communication and analytical skills."
Senior Android App Developer – Full Time,Dynamologic Solutions,Islamabad,"Experience working with remote data via REST and JSON.If you think you can take charge, solve problems, write robust & clean code and can see the projects…"
Wavemaker | Assistant Media Planner,Wavemaker,Islamabad,Analyze data to provide client with recommendations for optimizations.Been up to speed with cutting edge proprietary planning tools as well as able to extract…
EY Ford Rhodes: Senior Associate- Database Administrator,EY,Islamabad,"Atleast Bachelor’s degree in IT / Computer science, Engineering etc.Familiarity with the main data manipulation languages and the principles of database design…"
Solution Architect,Teradata,Islamabad,The Solution Architect has deep knowledge of a stack of technologies required for a client’s solution.The Solution Architect defines the logical and physical…
Java Development & DevOps Expert,Telenor,Islamabad,"Develop specifications that outline the design and implementation details for data ingest processes.Develop, modify, and enhance data and metadata service…"
"Assistant General Manager - IT, Hydrabad",HSIL,Hyderabad,"To manage data / Information and Network Security, DL&P and related Industry Information Security standards / prorocols."
Research Scientist (Decisioning),Afiniti,Karachi,Afiniti uses data science and operations research to enhance human interactions in large enterprises by efficiently pairing customers or tasks with company…
Deputy Manager - District,Greenstar Social Marketing,Sargodha,"Ensure that data/information from the field operation to Head Office is timely reported and while ensuring accuracy, timeliness, and credibility of reports."
Research Manager (RM),M&C Saatchi World Services Pakistan Private...,Islamabad,"Master’s degree in social science, preferably with modules in applied research, international development, behavioural science etc."
Business Analyst,SOLOCHOICEZ PVT LTD,Islamabad,"Gather data through a number of ways, from mining official computer data through software, looking at competitor data and industry trends to help."
Associate Professor - NBS,NUST,Islamabad,10 years teaching/research experience in a recognized institution/university or professional experience in the relevant field in a national or international…
BI Quantitative Analyst,Caramel Tech Studios,Lahore,You must be passionate about using data to answer complex questions.Collaborate with engineering on design and implementation of data infrastructure to support…
Application Associate SQL - Data Feeds,S&P Global,Islamabad,"Make suggestions in regards to product usability, presentation, and data quality.Work with Senior Associates on projects which improve and develop Data Feeds…"
Senior Software Engineer React Js.,Coeus Solutions GmbH,Lahore,"Proficient in data structure concepts, algorithms, OOAD / ERD / UML / Design patterns.Design, build, test, and deploy React Js. applications."
Software Engineer (SE),ActiveKey Solutions,Lahore,"Ability to define problems, collect data, establish facts, and draw valid conclusions.Design, code, test, and document applications as per software…"
Computer Science Faculty Required by BNU- School of IT,Beaconhouse National University,Lahore,"13-km from Thokar Niaz Baig off Raiwind Road, Tarogil, Lahore."
BI Consultant,Teradata,Islamabad,"Experienced in development of data sources, data extracts including data blending.Provide technical expertise to data warehouse clients that will contribute to…"
Pre-Sales Manager for Grid Software Middle East,Siemens,Karachi,Effectively and regularly update all the software opportunities in SieSales (Salesforce) as per the business forecast and maintain data quality.
Assistant Officer Skills & Capacity Development,PSEB,Islamabad,"Minimum 16 years of qualification in business administration, general science, commerce, or equivalent from an HEC recognized University."
Software Engineer in Test I,TCP Software,Lahore,"Design, develop and manage dynamic test data creation;We meet the needs of our customers by providing innovative software and hardware designed to help…"
Senior Software DevOps Expert,Telenor,Islamabad,"Supporting BUs in data extraction upgrades and existing data deliverables.Develop, modify, and enhance data washing algorithms to produce state of the art data…"
"Sr. Associate Product Manager, Data Management Solutions",S&P Global,Islamabad,Work in conjunction with the visualization and data science teams to develop and design solutions.Knowledge of various data delivery products within S&P Global…
Expert Business Analysis & Support,Jazz Telecom,Islamabad,"University degree education in Computer science, business and/or economics – Preferred Master.Utilize available internal/external data sources for effective…"
"Consultant / Senior Consultant, Climate Change and Sustainab...",EY,Karachi,"Undergraduate degree (or equivalent) in a relevant discipline, for example engineering or environmental science.To qualify for the role, you must have."
Senior Software Development Engineer,Siemens,Lahore,"Forge new software control interfaces, data information displays, and look & feel, from scratch or rework older designs."
"Security Consultant Governance, Risk and Compliance",Hiring organization,Pakistan,"VaporVM is looking to expand the Governance, Risk, and Compliance Security Consulting Practice.You will provide our clients with guidance pertaining to…"
Continuous Improvement Analyst / Business Process Improvemen...,Afiniti,Karachi,Proficiency in using MS Excel and able to perform basic data analysis.Compile relevant data of Global Delivery Projects in weekly reports for Senior Management…
MU Quality Lead - BSPAN,Unilever,Karachi,University degree in general sciences or technical discipline.The role monitor and processes quality data and information used to prepare decisions that…
IT Assistant - Female Only,Rendlen Solutions,Pakistan,"Ensure security of data, network access and backup systems.Category Computer and Information Technology.Service Level: Ensures service delivery and incident…"
Technical Content Engineer,Educative,Lahore,"Understanding of computer science concepts, such as data structures and algorithms.Technical Content Engineers (TCE) are distinguished by their abilities to…"
Consultancy: Gender-based discrimination assignment,UN,Pakistan,Workplan and tools for primary data collection.5.4 Carry out primary data collection including interviews with the ILO’s tripartite stakeholders.
Senior SQA Automation BE3359,Nisum,Lahore+2 locations,"Strong understanding of concepts related to computer architecture, data structures, programming practices, SQL, and backend concepts."
CVM & Contextual Marketing (Proactive Pipeline),Jazz Telecom,Islamabad,"Contribute to the development and use of data science models for campaigns.Develop an understanding of CMS, BI Tools, and data science capabilities."
"Manager Monitoring, Learning & Evaluation",Greenstar Social Marketing,Karachi,"Education: Master’s degree preferably in public health, social sciences/social work, related field.Experienced in delivering research utilizing a range of…"
System and Network Administrator,Technosys,Karachi,"Experience of data center will be plus.We are looking for experienced System and Network Administrator, who can design and implement network infrastructure,…"
Software Test Engineer,GfK,Karachi,"Country Pakistan Job Family Technology For over 80 years, GfK has been a reliable and trusted insight partner for the world’s biggest companies and…"
Lead Software Architect,CreditBook,Islamabad,"Strong knowledge of data structures, algorithms and architecture design.Excellent understanding of design patterns and architectural styles with the ability to…"
SQA Engineer,qordata,Karachi,Data engineering and data sciences skills.Performing data quality testing and data verification via database queries.Are experienced in SQL query writing.
Senior Manager – IT,Greenstar Social Marketing,Peshawar,"Examine data entry and ensure quality and integrity of the data.Education: Master’s in IT/ computer sciences, management sciences or equivalent."
Senior Network Engineer,Ibex,Karachi,Master or Bachelor degree in computer science or engineering.Oversees the configuration of firewall security settings to access permissions groups for…
Node.Js Developer,MTBC,Rawalpindi,"Bachelor's degree in computer science, information science, or similar.Implementing effective security protocols, data protection measures, and storage…"
VAS Engineer II,Sandvine,Islamabad,"Understanding of data modeling and corresponding techniques such as clustering, correlations.Experience of data modelling, DB administration, Vertica, SQL…"
4.Trainee Application Developer,Crescent Steel and Allied Products,Karachi,This position is responsible to assist in the development of Oracle reports and application softwares and provide technical support to users.
Manager - Provincial Coordinator | Central & South Punjab,Greenstar Social Marketing,Lahore+1 location,To maintain updated data on regular basis for all the key components of the project.Education: Master’s degree in Public health/Social Sciences/Management.
Product Manager,"Lahore, Punjab",Pakistan,"Being data-driven and kind of a data-geek: a clear understanding of data, analytics and metrics.Top-decile data wrangling skills; strength in SQL, Python for…"
Process Manager - Catalog Quality,GfK,Karachi,"Ability for data analysis and database interrogation (Keen interest in working with systems and data).Excellent data processing, statistics, numerical, and…"
Power BI Developer,Teradata,Islamabad,"To be part of the data revolution by performing hands on data analysis and developing analytical solutions to produce working concepts, along with managing…"
Senior Game Developer,Mindstorm Studios,Lahore,"Very strong problem solving skills with strong knowledge of data structures and basic algorithm.BA/BS degree in computer science, game development or related…"
Senior Software Engineer,GfK,Lahore+1 location,"We are building a next-generation PIM System which defines how we acquire, aggregate, normalize and syndication a huge amount of data to different targets using…"
Manager- Technology Consulting- Technology Transformation- S...,EY,Karachi,"Integrate data and applies judgment in forming practical insights and addressing potential issues, leveraging opportunities and analyses that enable decision…"
Teradata Operations DBA,Teradata,Islamabad,Should have good understanding of data archive/restore policies.T eradata Operations DBA requires specific technical knowledge about the administration and…
Software Engineer,"Lahore, Punjab",Pakistan,"Integration of multiple data sources and databases into one system.Integration of data storage solutions (may include databases, key-value stores, etc."
Assistant Manager - District Coordinator,Greenstar Social Marketing,Sialkot,"To maintain updated data on regular basis for all the key components of the project.Education: Preferably Master’s degree in Public health/Social Sciences,…"
Head of Business Planning and Monitoring,United Bank Limited,Karachi,"To collaborate with business stakeholders to identify opportunities to apply data science, artificial intelligence, and machine learning technologies to deliver…"
Online Sales (Entry Level),"Virtelligence, Inc",Islamabad,"Contribute value to data guides, scripts, and other documentation.We are looking for a full-time Online Sales Development Representative (night shift 7pm to…"
District Team Leader,Development Sector,Khyber-Pakhtunkhwa,Work with the M&E Department and program team on strengthening the use of M&E data across the program through the use and distribution of M&E reports.
"Assistant Manager or Manager, Cloud Transformation/Adoption,...",EY,Karachi,"Completed technical higher education in the field of computer engineering, computer science, electronics, information technology, and relevant industry…"
Back-end Developer,Zillion eLearning,Islamabad,Degree in computer science or IT.Implementation of security and data protection.Design and implementation of data storage solutions.
Product Executive SPS,Syngenta,Pakistan,Gather and evaluate data for market insights for the particular segment.Manage and coordinate for professional solutions portfolio project with internal and…
"eDiscovery Consultant, Forensic and Integrity Services, Rapi...",EY,Karachi,Ability to take large sums of data and analyse and visualize the data using industry standard technologies.Bachelor’s degree in computer science or a related…
Senior Software Engineer (.NET),Northbay,Pakistan,NorthBay is seeking Senior Software Engineers with 2 to 5+ years of development and delivery experience with C#.Net.
Core Banking Support Specialist,FINCA International,Lahore,"Execution of daily data replication with existing reporting and BI platforms;Bachelor's degree in computer science, IT, IS or related field."
Key Account Manager,Ingredion,Karachi,"Proven track record of grasping technical data and utilizing to close business.Reporting– Maintains accurate records of all sales activity, including customer…"
"Associate, DMS Technical Support",S&P Global,Islamabad,"Work on creating complex SQL queries (MS SQL, ORACLE, PostgreSQL, MySQL etc.,) to use our data and assist client with query tuning and performance improvements."
Junior iOS Developer,QBXNet,Lahore,"Ability in networking, local data caching, and multi-threading.To be both successful and have fun in this position, you have to be a team player with both a…"
HRIS Administrator / HR Operations Lead,Ingredion,Lahore,"Regularly perform data audits, validation and follow up with concerned teams for correction.Ensures system compliance, confidentiality, data security and…"
Senior Software Engineer - Backend,Bykea,Pakistan,"5+ years of software design and development experience, solid foundation in computer science with strong competencies in data structures, algorithms, Web…"
Business Intelligence Lead,Bykea,Karachi,Run experiments and develop dashboards and data visualizations for cross-functional data driven decision-making.
Senior Software Developer,S&P Global,Islamabad,"We integrate financial and industry data, research and news into tools that help track performance, generate alpha, identify investment ideas, understand…"
Full Stack Web Developer,Eteksol,Lahore,"Big Data, NoSQL, AI knowledge/working experience will be a plus, data Base Development.Eteksol is looking for a Full Stack Dot Net Developer who should be able…"
Senior Office Coordinator - Mediation Centre,Legal Aid Society,Karachi,Verifies and logs receipt of data.Performs regular backups to ensure data preservation.Transcribes manual source data into the required electronic format.
Chief Information Officer(CIO),Executive Search Worldwide,Karachi,Professional Qualification: At least Bachelor/Master's Degree in Computer Science/Information Technology along with Business Administration.
Customer Success Manager,S&P Global,Islamabad,"Provide leadership, motivate, use checkpoints and data to track progress, set up processes to measure results.3 years of management experience."
iOS App Developer – Full Time (Hybrid),Dynamologic Solutions,Islamabad,"Experience working with remote data via REST and JSON.If you think you can take charge, solve problems, write robust & clean code and can see the projects…"
"Application Specialist, DMS UAT",S&P Global,Islamabad,In-depth product and data knowledge.The Data Management Solutions team is focused towards building customer centric data delivery platforms.
Customer Integration Engineer,GfK,Karachi,Provide technical support via email and calls.Provide support to fellow support members.Provide / run moderate to advanced reports for catalog for customers…
Digital Product Manager,Syngenta,Pakistan,Strengthen engagement with franchises incl. data sharing.Digitizing grower & sales data to develop stronger understanding of grower preferences.
Senior iOS Developer,QBXNet,Lahore,"Ability in networking, local data caching, and multi-threading.To be both successful and have fun in this position, you have to be a team player with both a…"
Account Manager (Flavors & Ingredients),International Flavors & Fragrances,Karachi,IT acumen and ability to leverage big data points to enhance commercial performance and customer engagement.Create and sustain successful partnerships with IFF…
Customer Solutions Analyst,GfK,Karachi,API models that involves data exchange through REST and SOAP protocols.Conducting client discovery calls with sales representatives.
Data Engineer,Royal Cyber,Punjab,"We are looking for a candidate with 5+ years of experience in a Data Engineer role, who has attained a Graduate degree in Computer Science - Good Programming…"
Senior Sales Engineer,Juniper Networks,Pakistan,"Experience crafting/building data center and campus networks, as well as IP/MPLS/Optical backbone networks.Provide pre-sales technical consultation as a domain…"
National Sales Manager (Consumer Health),IQVIA,Karachi,"Job Description Delivers profitability and recognition for the organization by selling and providing services to customers utilizing organization tools,…"
Power BI expert,Aricrypta,Islamabad,"Aricrypta is seeking a Power BI expert to develop, enhance and support our customer’s analytics and BI platform. The role requires an expert who has excellent…"
Data Analyst,IQVIA,Karachi,"Responsibilities Developing professional expertise, applies company policies and procedures to resolve a variety of issues. Works on problems of moderate…"
Associate Architect/Architect – ReactJS & NodeJS,Northbay,Pakistan,*About Us* NorthBay Solutions is recognized as a premier provider of Big Data Outsourcing services. We are an AWS advanced consulting partner certified in big…
System Engineer-Microsoft,Innolytix Pakistan,Karachi,"Being a Microsoft Gold Partner, we’re committed to deliver exceptional end user technology, by aligning to and adopting the latest Microsoft technologies. If…"
Computer Vision Lead Researcher,Executive Search Worldwide,Islamabad,"We, Executive Search Worldwide are inquest of suitable candidates for Computer Vision Lead Researcher for one of our prominent clients. Position Title:…"
Software Development Engineer in Test II,S&P Global,Islamabad,The Role: Software Development Engineer in Test II The Team: The Quality Engineering team works in partnership with other Technology Functions and the…
m/SIX | Associate Business Director,m/SIX,Karachi,"Overview of job m/SIX is an agency of GroupM, the world’s largest media investment company and are a part of WPP. In fact, we are responsible for one in…"
Senior Infrastructure Engineer,S&P Global,Islamabad,Segment: S&P Global Market Intelligence The Role: Senior Infrastructure Engineer Grade ( relevant for internal applicants only ): 10 The Location :…
Quantitative Specialist - Investment Management,S&P Global,Islamabad,"The Role: Quantitative Specialist, Investment Management The Location: Islamabad Grade: 09 The Team: The Investment Management Quantitative Specialist will…"
Lead Software Developer,S&P Global,Islamabad,"S&P Global Market Intelligence The Role: Senior Software Developer The Team: Our team is responsible for the design, architecture, and development of our…"
Full Stack Developer,Mindstorm Studios,Lahore,"About Us﻿ ﻿Mindstorm Studios designs, develops, and markets some of the top games and interactive entertainment in the world today. That's the mission our…"
Cloud Engineer,Teradata,Islamabad,"Cloud Engineer Job Description At Teradata, cloud computing continues to allow us to modernize and consolidate IT infrastructure, automate workloads, and…"
Software Engineer,Ibex,Lahore,"Job Overview ibex. Pakistan is looking for a ""Software Engineer"" who shall build, design, and deploy web-based applications Job Description Build, design and…"
Expanding Access to Inclusive Education and Healthcare to Ru...,CBM Christoffel-Blindenmission Christian Blind...,Pakistan,"Posted date 14th July, 2022 Last date to apply 28th July, 2022 Category Consultancy Terms of Reference Feasibility Study 1. Project Summary Planned Project…"
DevOps Engineer,Nakisa,Lahore,"Bachelor's degree in computer science or Network engineering.Knowledge of Sock II, GDPR and data protection compliance."
Senior React Engineer,eMumba,Lahore,Articulate communication skills to effectively analyse requirements and translate technical terms to suit business needs.AWS Certifications are a bonus.
Senior Business Analyst - ServiceNow,S&P Global,Islamabad,Ensure accuracy and quality of data through all upstream and downstream data channels.Be proficient with data flow diagrams.
Product Owner,CreditBook,Karachi,"You can drive collaboration across multiple disciplines - data, marketing, operations, and sales.BS in computer science, engineering, human centred design or a…"
Mindshare | Associate Business Director,Mindshare,Karachi,"Master’s degree in marketing/media sciences or equivalent from a reputable business school.In this role, you will be responsible for bringing a highly valued…"
ServiceNow QA Analyst,S&P Global,Islamabad,Ensure accuracy and quality of data through all upstream and downstream data channels.Understanding of databases and data structures is preferred.
Senior Software Engineer,SS&C Technologies,Karachi,"Assist with issues identification and data error correction.Bachelor's Degree or Advanced degree (MA/MS or better) in computer science, information management,…"
"Associate, Technical Client Support",S&P Global,Islamabad,"You are organized and have the ability to collect, analyze and summarize data to prepare clear reports; more like technical product documentation."
Senior Java Developer,eMumba,Islamabad,Build scalable and reliable data systems consisting of multiple subsystems.Solid understanding of Computer Science fundamentals including algorithms and data…
"Senior Consultant, Primary Intelligence",IQVIA,Karachi,Responsible for quality control of qualitative and quantitative data research.Perform Analysis of both qualitative & quantitative data to assist in the…
Senior Full Stack Developer,S&P Global,Islamabad,"We integrate financial and industry data, research and news into tools that help track performance, generate alpha, identify investment ideas, understand…"
